,sl,index,sentence,promptsForPython,promptsForJulius
1911,1912,si1912,It cost us a hundred thousand dollars and thirty days lost time to fix them.,IT COST US A HUNDRED THOUSAND DOLLARS AND THIRTY DAYS LOST TIME TO FIX THEM,*/sample1912 IT COST US A HUNDRED THOUSAND DOLLARS AND THIRTY DAYS LOST TIME TO FIX THEM
1912,1913,si1913,"The gunman nodded, slipping the picture into his breast pocket, saying nothing.",THE GUNMAN NODDED SLIPPING THE PICTURE INTO HIS BREAST POCKET SAYING NOTHING,*/sample1913 THE GUNMAN NODDED SLIPPING THE PICTURE INTO HIS BREAST POCKET SAYING NOTHING
1913,1914,si1914,"As she drove, she thought about her plan.",AS SHE DROVE SHE THOUGHT ABOUT HER PLAN,*/sample1914 AS SHE DROVE SHE THOUGHT ABOUT HER PLAN
1914,1915,si1915,"It was there that she would have to enact her renunciation, beg forgiveness.",IT WAS THERE THAT SHE WOULD HAVE TO ENACT HER RENUNCIATION BEG FORGIVENESS,*/sample1915 IT WAS THERE THAT SHE WOULD HAVE TO ENACT HER RENUNCIATION BEG FORGIVENESS
1915,1916,si1916,Perhaps it was all a vividly conceived dream.,PERHAPS IT WAS ALL A VIVIDLY CONCEIVED DREAM,*/sample1916 PERHAPS IT WAS ALL A VIVIDLY CONCEIVED DREAM
1916,1917,si1917,"Nevertheless, she continued to move upward.",NEVERTHELESS SHE CONTINUED TO MOVE UPWARD,*/sample1917 NEVERTHELESS SHE CONTINUED TO MOVE UPWARD
1917,1918,si1918,"It circled her thighs, exploring with its icy tentacles.",IT CIRCLED HER THIGHS EXPLORING WITH ITS ICY TENTACLES,*/sample1918 IT CIRCLED HER THIGHS EXPLORING WITH ITS ICY TENTACLES
1918,1919,si1919,Every movement she made seemed unnecessarily noisy.,EVERY MOVEMENT SHE MADE SEEMED UNNECESSARILY NOISY,*/sample1919 EVERY MOVEMENT SHE MADE SEEMED UNNECESSARILY NOISY
1919,1920,si1920,"Lips pursed mournfully, he stared down at its crazily sagging left side.",LIPS PURSED MOURNFULLY HE STARED DOWN AT ITS CRAZILY SAGGING LEFT SIDE,*/sample1920 LIPS PURSED MOURNFULLY HE STARED DOWN AT ITS CRAZILY SAGGING LEFT SIDE
1920,1921,si1921,And his relatively small hands and feet gave him an almost delicate appearance.,AND HIS RELATIVELY SMALL HANDS AND FEET GAVE HIM AN ALMOST DELICATE APPEARANCE,*/sample1921 AND HIS RELATIVELY SMALL HANDS AND FEET GAVE HIM AN ALMOST DELICATE APPEARANCE
1921,1922,si1922,Or maybe you just don't feel like a cigar?,OR MAYBE YOU JUST DON'T FEEL LIKE A CIGAR,*/sample1922 OR MAYBE YOU JUST DON'T FEEL LIKE A CIGAR
1922,1923,si1923,What did you mean by that rattlesnake gag?,WHAT DID YOU MEAN BY THAT RATTLESNAKE GAG,*/sample1923 WHAT DID YOU MEAN BY THAT RATTLESNAKE GAG
1923,1924,si1924,Getting the boss rattlesnake to help you?,GETTING THE BOSS RATTLESNAKE TO HELP YOU,*/sample1924 GETTING THE BOSS RATTLESNAKE TO HELP YOU
1924,1925,si1925,So what's this all about?,SO WHAT'S THIS ALL ABOUT,*/sample1925 SO WHAT'S THIS ALL ABOUT
1925,1926,si1926,Why single me out on this permit deal?,WHY SINGLE ME OUT ON THIS PERMIT DEAL,*/sample1926 WHY SINGLE ME OUT ON THIS PERMIT DEAL
1926,1927,si1927,You do that or take you out a permit right now.,YOU DO THAT OR TAKE YOU OUT A PERMIT RIGHT NOW,*/sample1927 YOU DO THAT OR TAKE YOU OUT A PERMIT RIGHT NOW
1927,1928,si1928,"Not immediately, as the deputy demanded.",NOT IMMEDIATELY AS THE DEPUTY DEMANDED,*/sample1928 NOT IMMEDIATELY AS THE DEPUTY DEMANDED
1928,1929,si1929,Oil-field workers were a rough-tough lot.,OIL-FIELD WORKERS WERE A ROUGH-TOUGH LOT,*/sample1929 OIL-FIELD WORKERS WERE A ROUGH-TOUGH LOT
1929,1930,si1930,A rabbit punch redoubled him.,A RABBIT PUNCH REDOUBLED HIM,*/sample1930 A RABBIT PUNCH REDOUBLED HIM
1930,1931,si1931,No more could he defend himself against them.,NO MORE COULD HE DEFEND HIMSELF AGAINST THEM,*/sample1931 NO MORE COULD HE DEFEND HIMSELF AGAINST THEM
1931,1932,si1932,"Why, he's going to kill me, he thought wildly.",WHY HE'S GOING TO KILL ME HE THOUGHT WILDLY,*/sample1932 WHY HE'S GOING TO KILL ME HE THOUGHT WILDLY
1932,1933,si1933,Beat me to death in front of a hundred people.,BEAT ME TO DEATH IN FRONT OF A HUNDRED PEOPLE,*/sample1933 BEAT ME TO DEATH IN FRONT OF A HUNDRED PEOPLE
1933,1934,si1934,Wait a little while.,WAIT A LITTLE WHILE,*/sample1934 WAIT A LITTLE WHILE
1934,1935,si1935,"In my place, you'd follow such advice as you give me?",IN MY PLACE YOU'D FOLLOW SUCH ADVICE AS YOU GIVE ME,*/sample1935 IN MY PLACE YOU'D FOLLOW SUCH ADVICE AS YOU GIVE ME
1935,1936,si1936,We'll ride out as soon as we've had chuck.,WE'LL RIDE OUT AS SOON AS WE'VE HAD CHUCK,*/sample1936 WE'LL RIDE OUT AS SOON AS WE'VE HAD CHUCK
1936,1937,si1937,They were all good men.,THEY WERE ALL GOOD MEN,*/sample1937 THEY WERE ALL GOOD MEN
1937,1938,si1938,Lighted windows glowed jewel-bright through the downpour.,LIGHTED WINDOWS GLOWED JEWEL-BRIGHT THROUGH THE DOWNPOUR,*/sample1938 LIGHTED WINDOWS GLOWED JEWEL-BRIGHT THROUGH THE DOWNPOUR
1938,1939,si1939,Put on his old brown corduroy coat and it was already soaked.,PUT ON HIS OLD BROWN CORDUROY COAT AND IT WAS ALREADY SOAKED,*/sample1939 PUT ON HIS OLD BROWN CORDUROY COAT AND IT WAS ALREADY SOAKED
1939,1940,si1940,He was only vaguely aware of the sluicing rain.,HE WAS ONLY VAGUELY AWARE OF THE SLUICING RAIN,*/sample1940 HE WAS ONLY VAGUELY AWARE OF THE SLUICING RAIN
1940,1941,si1941,We'll talk over at your office.,WE'LL TALK OVER AT YOUR OFFICE,*/sample1941 WE'LL TALK OVER AT YOUR OFFICE
1941,1942,si1942,It was secured by an oversized padlock.,IT WAS SECURED BY AN OVERSIZED PADLOCK,*/sample1942 IT WAS SECURED BY AN OVERSIZED PADLOCK
1942,1943,si1943,"For the unseen, ghostlike rifleman aimed a little higher the third time.",FOR THE UNSEEN GHOSTLIKE RIFLEMAN AIMED A LITTLE HIGHER THE THIRD TIME,*/sample1943 FOR THE UNSEEN GHOSTLIKE RIFLEMAN AIMED A LITTLE HIGHER THE THIRD TIME
1943,1944,si1944,The former scout's alibi couldn't be shaken.,THE FORMER SCOUT'S ALIBI COULDN'T BE SHAKEN,*/sample1944 THE FORMER SCOUT'S ALIBI COULDN'T BE SHAKEN
1944,1945,si1945,"Privately, he created and magnified an image of himself as a hired assassin.",PRIVATELY HE CREATED AND MAGNIFIED AN IMAGE OF HIMSELF AS A HIRED ASSASSIN,*/sample1945 PRIVATELY HE CREATED AND MAGNIFIED AN IMAGE OF HIMSELF AS A HIRED ASSASSIN
1945,1946,si1946,The rustling problem was by no means solved.,THE RUSTLING PROBLEM WAS BY NO MEANS SOLVED,*/sample1946 THE RUSTLING PROBLEM WAS BY NO MEANS SOLVED
1946,1947,si1947,There were no tracks of either hoofs or boots.,THERE WERE NO TRACKS OF EITHER HOOFS OR BOOTS,*/sample1947 THERE WERE NO TRACKS OF EITHER HOOFS OR BOOTS
1947,1948,si1948,He moistened his lips uneasily.,HE MOISTENED HIS LIPS UNEASILY,*/sample1948 HE MOISTENED HIS LIPS UNEASILY
1948,1949,si1949,Who told you to do it?,WHO TOLD YOU TO DO IT,*/sample1949 WHO TOLD YOU TO DO IT
1949,1950,si1950,"Does this make it any easier, coward?",DOES THIS MAKE IT ANY EASIER COWARD,*/sample1950 DOES THIS MAKE IT ANY EASIER COWARD
1950,1951,si1951,He wanted to show the town what happened to anyone who tried to start trouble.,HE WANTED TO SHOW THE TOWN WHAT HAPPENED TO ANYONE WHO TRIED TO START TROUBLE,*/sample1951 HE WANTED TO SHOW THE TOWN WHAT HAPPENED TO ANYONE WHO TRIED TO START TROUBLE
1951,1952,si1952,We're going someplace.,WE'RE GOING SOMEPLACE,*/sample1952 WE'RE GOING SOMEPLACE
1952,1953,si1953,Where're you takin' me?,WHERE'RE YOU TAKIN' ME,*/sample1953 WHERE'RE YOU TAKIN' ME
1953,1954,si1954,"Honey, he whispered.",HONEY HE WHISPERED,*/sample1954 HONEY HE WHISPERED
1954,1955,si1955,Like enough we'll all be up on top by sundown.,LIKE ENOUGH WE'LL ALL BE UP ON TOP BY SUNDOWN,*/sample1955 LIKE ENOUGH WE'LL ALL BE UP ON TOP BY SUNDOWN
1955,1956,si1956,"A single kick made it spring open, shuddering.",A SINGLE KICK MADE IT SPRING OPEN SHUDDERING,*/sample1956 A SINGLE KICK MADE IT SPRING OPEN SHUDDERING
1956,1957,si1957,"Clapping spurs to the bronc, he set off at a sharp canter, with growing alarm.",CLAPPING SPURS TO THE BRONC HE SET OFF AT A SHARP CANTER WITH GROWING ALARM,*/sample1957 CLAPPING SPURS TO THE BRONC HE SET OFF AT A SHARP CANTER WITH GROWING ALARM
1957,1958,si1958,His first glimpse of the ranch house across the brushy swells told him nothing.,HIS FIRST GLIMPSE OF THE RANCH HOUSE ACROSS THE BRUSHY SWELLS TOLD HIM NOTHING,*/sample1958 HIS FIRST GLIMPSE OF THE RANCH HOUSE ACROSS THE BRUSHY SWELLS TOLD HIM NOTHING
1958,1959,si1959,He had not covered a hundred yards before a gun crashed from somewhere behind.,HE HAD NOT COVERED A HUNDRED YARDS BEFORE A GUN CRASHED FROM SOMEWHERE BEHIND,*/sample1959 HE HAD NOT COVERED A HUNDRED YARDS BEFORE A GUN CRASHED FROM SOMEWHERE BEHIND
1959,1960,si1960,A slug had torn half of his stirrup-guard away.,A SLUG HAD TORN HALF OF HIS STIRRUP-GUARD AWAY,*/sample1960 A SLUG HAD TORN HALF OF HIS STIRRUP-GUARD AWAY
1960,1961,si1961,"A second twitched his shirtsleeve, and he felt a brief burn on his upper arm.",A SECOND TWITCHED HIS SHIRTSLEEVE AND HE FELT A BRIEF BURN ON HIS UPPER ARM,*/sample1961 A SECOND TWITCHED HIS SHIRTSLEEVE AND HE FELT A BRIEF BURN ON HIS UPPER ARM
1961,1962,si1962,Another snarled close overhead.,ANOTHER SNARLED CLOSE OVERHEAD,*/sample1962 ANOTHER SNARLED CLOSE OVERHEAD
1962,1963,si1963,Each plane carried two five-hundred pound bombs.,EACH PLANE CARRIED TWO FIVE-HUNDRED POUND BOMBS,*/sample1963 EACH PLANE CARRIED TWO FIVE-HUNDRED POUND BOMBS
1963,1964,si1964,The pilots' heads looked ridiculously small.,THE PILOTS' HEADS LOOKED RIDICULOUSLY SMALL,*/sample1964 THE PILOTS' HEADS LOOKED RIDICULOUSLY SMALL
1964,1965,si1965,"If the other pilots were worried, they did not show it.",IF THE OTHER PILOTS WERE WORRIED THEY DID NOT SHOW IT,*/sample1965 IF THE OTHER PILOTS WERE WORRIED THEY DID NOT SHOW IT
1965,1966,si1966,Although they drew light ground fire they saw no signs of activity.,ALTHOUGH THEY DREW LIGHT GROUND FIRE THEY SAW NO SIGNS OF ACTIVITY,*/sample1966 ALTHOUGH THEY DREW LIGHT GROUND FIRE THEY SAW NO SIGNS OF ACTIVITY
1966,1967,si1967,Twelve o'clock level.,TWELVE O'CLOCK LEVEL,*/sample1967 TWELVE O'CLOCK LEVEL
1967,1968,si1968,The opposing aircraft continued to come on.,THE OPPOSING AIRCRAFT CONTINUED TO COME ON,*/sample1968 THE OPPOSING AIRCRAFT CONTINUED TO COME ON
1968,1969,si1969,"If any of us miss, they can pick up the pieces.",IF ANY OF US MISS THEY CAN PICK UP THE PIECES,*/sample1969 IF ANY OF US MISS THEY CAN PICK UP THE PIECES
1969,1970,si1970,The clearly identifiable enemy continued on as if no one else were around.,THE CLEARLY IDENTIFIABLE ENEMY CONTINUED ON AS IF NO ONE ELSE WERE AROUND,*/sample1970 THE CLEARLY IDENTIFIABLE ENEMY CONTINUED ON AS IF NO ONE ELSE WERE AROUND
1970,1971,si1971,Let's take 'em home.,LET'S TAKE 'EM HOME,*/sample1971 LET'S TAKE 'EM HOME
1971,1972,si1972,"Perfect, he thought.",PERFECT HE THOUGHT,*/sample1972 PERFECT HE THOUGHT
1972,1973,si1973,The enemy did not veer.,THE ENEMY DID NOT VEER,*/sample1973 THE ENEMY DID NOT VEER
1973,1974,si1974,As if drawn by a wire the enemy flew into them.,AS IF DRAWN BY A WIRE THE ENEMY FLEW INTO THEM,*/sample1974 AS IF DRAWN BY A WIRE THE ENEMY FLEW INTO THEM
1974,1975,si1975,A large piece of engine cowling vanished.,A LARGE PIECE OF ENGINE COWLING VANISHED,*/sample1975 A LARGE PIECE OF ENGINE COWLING VANISHED
1975,1976,si1976,"Wingman, stay clear, he prayed.",WINGMAN STAY CLEAR HE PRAYED,*/sample1976 WINGMAN STAY CLEAR HE PRAYED
1976,1977,si1977,He fought the panic of vertigo.,HE FOUGHT THE PANIC OF VERTIGO,*/sample1977 HE FOUGHT THE PANIC OF VERTIGO
1977,1978,si1978,Something pulled my leg.,SOMETHING PULLED MY LEG,*/sample1978 SOMETHING PULLED MY LEG
1978,1979,si1979,"We were off the road, gleaming barbed wire pulling taut.",WE WERE OFF THE ROAD GLEAMING BARBED WIRE PULLING TAUT,*/sample1979 WE WERE OFF THE ROAD GLEAMING BARBED WIRE PULLING TAUT
1979,1980,si1980,"High, so it would only bounce harmlessly but loudly off the car's steel roof.",HIGH SO IT WOULD ONLY BOUNCE HARMLESSLY BUT LOUDLY OFF THE CAR'S STEEL ROOF,*/sample1980 HIGH SO IT WOULD ONLY BOUNCE HARMLESSLY BUT LOUDLY OFF THE CAR'S STEEL ROOF
1980,1981,si1981,On unoccupied roadway the bottle shattered into a small amber flash.,ON UNOCCUPIED ROADWAY THE BOTTLE SHATTERED INTO A SMALL AMBER FLASH,*/sample1981 ON UNOCCUPIED ROADWAY THE BOTTLE SHATTERED INTO A SMALL AMBER FLASH
1981,1982,si1982,"Two cars came over a crest, their chrome and glass flashing.",TWO CARS CAME OVER A CREST THEIR CHROME AND GLASS FLASHING,*/sample1982 TWO CARS CAME OVER A CREST THEIR CHROME AND GLASS FLASHING
1982,1983,si1983,Brakes shrieked behind us.,BRAKES SHRIEKED BEHIND US,*/sample1983 BRAKES SHRIEKED BEHIND US
1983,1984,si1984,And what eyes they were.,AND WHAT EYES THEY WERE,*/sample1984 AND WHAT EYES THEY WERE
1984,1985,si1985,"Eyes like hot honey, eyes that sizzled.",EYES LIKE HOT HONEY EYES THAT SIZZLED,*/sample1985 EYES LIKE HOT HONEY EYES THAT SIZZLED
1985,1986,si1986,"What's your name, anyway?",WHAT'S YOUR NAME ANYWAY,*/sample1986 WHAT'S YOUR NAME ANYWAY
1986,1987,si1987,"Anyway, it was evident what he had in mind.",ANYWAY IT WAS EVIDENT WHAT HE HAD IN MIND,*/sample1987 ANYWAY IT WAS EVIDENT WHAT HE HAD IN MIND
1987,1988,si1988,"How's it strike you, foul or fair?",HOW'S IT STRIKE YOU FOUL OR FAIR,*/sample1988 HOW'S IT STRIKE YOU FOUL OR FAIR
1988,1989,si1989,"Accident, murder, suicide -- take your pick.",ACCIDENT MURDER SUICIDE  TAKE YOUR PICK,*/sample1989 ACCIDENT MURDER SUICIDE  TAKE YOUR PICK
1989,1990,si1990,How will we work it out?,HOW WILL WE WORK IT OUT,*/sample1990 HOW WILL WE WORK IT OUT
1990,1991,si1991,"A lot of people will roam the streets in costumes and masks, and having a ball.",A LOT OF PEOPLE WILL ROAM THE STREETS IN COSTUMES AND MASKS AND HAVING A BALL,*/sample1991 A LOT OF PEOPLE WILL ROAM THE STREETS IN COSTUMES AND MASKS AND HAVING A BALL
1991,1992,si1992,"Or, more rhythmically, the swarthy witches are laughing?",OR MORE RHYTHMICALLY THE SWARTHY WITCHES ARE LAUGHING,*/sample1992 OR MORE RHYTHMICALLY THE SWARTHY WITCHES ARE LAUGHING
1992,1993,si1993,Should she wake him?,SHOULD SHE WAKE HIM,*/sample1993 SHOULD SHE WAKE HIM
1993,1994,si1994,"So if all these beers was to get me in bed, man, you just spent a lot of money.",SO IF ALL THESE BEERS WAS TO GET ME IN BED MAN YOU JUST SPENT A LOT OF MONEY,*/sample1994 SO IF ALL THESE BEERS WAS TO GET ME IN BED MAN YOU JUST SPENT A LOT OF MONEY
1994,1995,si1995,He blew his nose expertly between his fingers.,HE BLEW HIS NOSE EXPERTLY BETWEEN HIS FINGERS,*/sample1995 HE BLEW HIS NOSE EXPERTLY BETWEEN HIS FINGERS
1995,1996,si1996,You shall see her at dinner.,YOU SHALL SEE HER AT DINNER,*/sample1996 YOU SHALL SEE HER AT DINNER
1996,1997,si1997,Like as if it were built of books.,LIKE AS IF IT WERE BUILT OF BOOKS,*/sample1997 LIKE AS IF IT WERE BUILT OF BOOKS
1997,1998,si1998,"She took it grudgingly, her dark eyes baleful as they met his.",SHE TOOK IT GRUDGINGLY HER DARK EYES BALEFUL AS THEY MET HIS,*/sample1998 SHE TOOK IT GRUDGINGLY HER DARK EYES BALEFUL AS THEY MET HIS
1998,1999,si1999,She asked smolderingly.,SHE ASKED SMOLDERINGLY,*/sample1999 SHE ASKED SMOLDERINGLY
1999,2000,si2000,"We can get it if we dig, he said patiently.",WE CAN GET IT IF WE DIG HE SAID PATIENTLY,*/sample2000 WE CAN GET IT IF WE DIG HE SAID PATIENTLY
2000,2001,si2001,"We're lost and burning up already, she bit out tensely.",WE'RE LOST AND BURNING UP ALREADY SHE BIT OUT TENSELY,*/sample2001 WE'RE LOST AND BURNING UP ALREADY SHE BIT OUT TENSELY
2001,2002,si2002,They'll roll off in another day.,THEY'LL ROLL OFF IN ANOTHER DAY,*/sample2002 THEY'LL ROLL OFF IN ANOTHER DAY
2002,2003,si2003,"In a way, he couldn't blame her.",IN A WAY HE COULDN'T BLAME HER,*/sample2003 IN A WAY HE COULDN'T BLAME HER
2003,2004,si2004,She had jumped away from his shy touch like a cat confronted by a sidewinder.,SHE HAD JUMPED AWAY FROM HIS SHY TOUCH LIKE A CAT CONFRONTED BY A SIDEWINDER,*/sample2004 SHE HAD JUMPED AWAY FROM HIS SHY TOUCH LIKE A CAT CONFRONTED BY A SIDEWINDER
2004,2005,si2005,"He had left her inviolate, thinking familiarity would gentle her in time.",HE HAD LEFT HER INVIOLATE THINKING FAMILIARITY WOULD GENTLE HER IN TIME,*/sample2005 HE HAD LEFT HER INVIOLATE THINKING FAMILIARITY WOULD GENTLE HER IN TIME
2005,2006,si2006,His blue eyes sought the shimmering sea of haze ahead.,HIS BLUE EYES SOUGHT THE SHIMMERING SEA OF HAZE AHEAD,*/sample2006 HIS BLUE EYES SOUGHT THE SHIMMERING SEA OF HAZE AHEAD
2006,2007,si2007,"To his puzzlement, there suddenly was no haze.",TO HIS PUZZLEMENT THERE SUDDENLY WAS NO HAZE,*/sample2007 TO HIS PUZZLEMENT THERE SUDDENLY WAS NO HAZE
2007,2008,si2008,He swung up over the wheel.,HE SWUNG UP OVER THE WHEEL,*/sample2008 HE SWUNG UP OVER THE WHEEL
2008,2009,si2009,The clouds bulged downward and burst suddenly into a great black funnel.,THE CLOUDS BULGED DOWNWARD AND BURST SUDDENLY INTO A GREAT BLACK FUNNEL,*/sample2009 THE CLOUDS BULGED DOWNWARD AND BURST SUDDENLY INTO A GREAT BLACK FUNNEL
2009,2010,si2010,The cloudburst cut off abruptly.,THE CLOUDBURST CUT OFF ABRUPTLY,*/sample2010 THE CLOUDBURST CUT OFF ABRUPTLY
2010,2011,si2011,"At least, the wheels dug in.",AT LEAST THE WHEELS DUG IN,*/sample2011 AT LEAST THE WHEELS DUG IN
2011,2012,si2012,His wife didn't give a sign she'd heard.,HIS WIFE DIDN'T GIVE A SIGN SHE'D HEARD,*/sample2012 HIS WIFE DIDN'T GIVE A SIGN SHE'D HEARD
2012,2013,si2013,They were already swollen to bursting.,THEY WERE ALREADY SWOLLEN TO BURSTING,*/sample2013 THEY WERE ALREADY SWOLLEN TO BURSTING
2013,2014,si2014,"Sulphur, oil, and copra make the kind of tinder any firebug dreams of.",SULPHUR OIL AND COPRA MAKE THE KIND OF TINDER ANY FIREBUG DREAMS OF,*/sample2014 SULPHUR OIL AND COPRA MAKE THE KIND OF TINDER ANY FIREBUG DREAMS OF
2014,2015,si2015,The lifeboats were stuck fast.,THE LIFEBOATS WERE STUCK FAST,*/sample2015 THE LIFEBOATS WERE STUCK FAST
2015,2016,si2016,Heave on those ropes; the boat's come unstuck.,HEAVE ON THOSE ROPES THE BOAT'S COME UNSTUCK,*/sample2016 HEAVE ON THOSE ROPES THE BOAT'S COME UNSTUCK
2016,2017,si2017,Let's hope we come to a safer place.,LET'S HOPE WE COME TO A SAFER PLACE,*/sample2017 LET'S HOPE WE COME TO A SAFER PLACE
2017,2018,si2018,They were shattered.,THEY WERE SHATTERED,*/sample2018 THEY WERE SHATTERED
2018,2019,si2019,"Later, you shall know it better.",LATER YOU SHALL KNOW IT BETTER,*/sample2019 LATER YOU SHALL KNOW IT BETTER
2019,2020,si2020,The old woman arose stiffly and led me to a clearing where a small hut stood.,THE OLD WOMAN AROSE STIFFLY AND LED ME TO A CLEARING WHERE A SMALL HUT STOOD,*/sample2020 THE OLD WOMAN AROSE STIFFLY AND LED ME TO A CLEARING WHERE A SMALL HUT STOOD
2020,2021,si2021,Then he would realize they were really things that only he himself could think.,THEN HE WOULD REALIZE THEY WERE REALLY THINGS THAT ONLY HE HIMSELF COULD THINK,*/sample2021 THEN HE WOULD REALIZE THEY WERE REALLY THINGS THAT ONLY HE HIMSELF COULD THINK
2021,2022,si2022,What outfit does she drive for?,WHAT OUTFIT DOES SHE DRIVE FOR,*/sample2022 WHAT OUTFIT DOES SHE DRIVE FOR
2022,2023,si2023,"Nowadays, we talk as though the blitz were just a short skirmish.",NOWADAYS WE TALK AS THOUGH THE BLITZ WERE JUST A SHORT SKIRMISH,*/sample2023 NOWADAYS WE TALK AS THOUGH THE BLITZ WERE JUST A SHORT SKIRMISH
2023,2024,si2024,"They don't go for bull-like muscle, as a rule.",THEY DON'T GO FOR BULL-LIKE MUSCLE AS A RULE,*/sample2024 THEY DON'T GO FOR BULL-LIKE MUSCLE AS A RULE
2024,2025,si2025,He didn't tell her the truth he now freely admitted to himself.,HE DIDN'T TELL HER THE TRUTH HE NOW FREELY ADMITTED TO HIMSELF,*/sample2025 HE DIDN'T TELL HER THE TRUTH HE NOW FREELY ADMITTED TO HIMSELF
2025,2026,si2026,The great black leopards.,THE GREAT BLACK LEOPARDS,*/sample2026 THE GREAT BLACK LEOPARDS
2026,2027,si2027,They came upon cheetal deer at woodland pools.,THEY CAME UPON CHEETAL DEER AT WOODLAND POOLS,*/sample2027 THEY CAME UPON CHEETAL DEER AT WOODLAND POOLS
2027,2028,si2028,"He took his mask from his forehead and threw it, unexpectedly, across the deck.",HE TOOK HIS MASK FROM HIS FOREHEAD AND THREW IT UNEXPECTEDLY ACROSS THE DECK,*/sample2028 HE TOOK HIS MASK FROM HIS FOREHEAD AND THREW IT UNEXPECTEDLY ACROSS THE DECK
2028,2029,si2029,A note of awe came into his voice.,A NOTE OF AWE CAME INTO HIS VOICE,*/sample2029 A NOTE OF AWE CAME INTO HIS VOICE
2029,2030,si2030,"Our boy didn't chicken out, no sir.",OUR BOY DIDN'T CHICKEN OUT NO SIR,*/sample2030 OUR BOY DIDN'T CHICKEN OUT NO SIR
2030,2031,si2031,Whatever you tell him he will dive.,WHATEVER YOU TELL HIM HE WILL DIVE,*/sample2031 WHATEVER YOU TELL HIM HE WILL DIVE
2031,2032,si2032,He took a big swig of his drink.,HE TOOK A BIG SWIG OF HIS DRINK,*/sample2032 HE TOOK A BIG SWIG OF HIS DRINK
2032,2033,si2033,It would be a colossal shame to throw away a story like this.,IT WOULD BE A COLOSSAL SHAME TO THROW AWAY A STORY LIKE THIS,*/sample2033 IT WOULD BE A COLOSSAL SHAME TO THROW AWAY A STORY LIKE THIS
2033,2034,si2034,Make it come off all right.,MAKE IT COME OFF ALL RIGHT,*/sample2034 MAKE IT COME OFF ALL RIGHT
2034,2035,si2035,He felt a good deal less shaky.,HE FELT A GOOD DEAL LESS SHAKY,*/sample2035 HE FELT A GOOD DEAL LESS SHAKY
2035,2036,si2036,"As his feet slowed, he felt ashamed of the panic and resolved to make a stand.",AS HIS FEET SLOWED HE FELT ASHAMED OF THE PANIC AND RESOLVED TO MAKE A STAND,*/sample2036 AS HIS FEET SLOWED HE FELT ASHAMED OF THE PANIC AND RESOLVED TO MAKE A STAND
2036,2037,si2037,He crossed the next meadow and climbed a tree where the jungle trail resumed.,HE CROSSED THE NEXT MEADOW AND CLIMBED A TREE WHERE THE JUNGLE TRAIL RESUMED,*/sample2037 HE CROSSED THE NEXT MEADOW AND CLIMBED A TREE WHERE THE JUNGLE TRAIL RESUMED
2037,2038,si2038,"He murmured to himself, with firmness: no surrender.",HE MURMURED TO HIMSELF WITH FIRMNESS NO SURRENDER,*/sample2038 HE MURMURED TO HIMSELF WITH FIRMNESS NO SURRENDER
2038,2039,si2039,"His superiors had also preached this, saying it was the way for eternal honor.",HIS SUPERIORS HAD ALSO PREACHED THIS SAYING IT WAS THE WAY FOR ETERNAL HONOR,*/sample2039 HIS SUPERIORS HAD ALSO PREACHED THIS SAYING IT WAS THE WAY FOR ETERNAL HONOR
2039,2040,si2040,His comrades were all dead.,HIS COMRADES WERE ALL DEAD,*/sample2040 HIS COMRADES WERE ALL DEAD
2040,2041,si2041,The shot reverberated in diminishing whiplashes of sound.,THE SHOT REVERBERATED IN DIMINISHING WHIPLASHES OF SOUND,*/sample2041 THE SHOT REVERBERATED IN DIMINISHING WHIPLASHES OF SOUND
2041,2042,si2042,You came well equipped to die.,YOU CAME WELL EQUIPPED TO DIE,*/sample2042 YOU CAME WELL EQUIPPED TO DIE
2042,2043,si2043,"Are you a thrower of flame, marine?",ARE YOU A THROWER OF FLAME MARINE,*/sample2043 ARE YOU A THROWER OF FLAME MARINE
2043,2044,si2044,Wet also were the marine's fatigues and the face had an oily film.,WET ALSO WERE THE MARINE'S FATIGUES AND THE FACE HAD AN OILY FILM,*/sample2044 WET ALSO WERE THE MARINE'S FATIGUES AND THE FACE HAD AN OILY FILM
2044,2045,si2045,Before much longer the marine quieted down.,BEFORE MUCH LONGER THE MARINE QUIETED DOWN,*/sample2045 BEFORE MUCH LONGER THE MARINE QUIETED DOWN
2045,2046,si2046,"He straightened up, alert now as the buffalo hunter came closer.",HE STRAIGHTENED UP ALERT NOW AS THE BUFFALO HUNTER CAME CLOSER,*/sample2046 HE STRAIGHTENED UP ALERT NOW AS THE BUFFALO HUNTER CAME CLOSER
2046,2047,si2047,"Stay right here where you are, kid, he called.",STAY RIGHT HERE WHERE YOU ARE KID HE CALLED,*/sample2047 STAY RIGHT HERE WHERE YOU ARE KID HE CALLED
2047,2048,si2048,"The kid has no manners, boys.",THE KID HAS NO MANNERS BOYS,*/sample2048 THE KID HAS NO MANNERS BOYS
2048,2049,si2049,Shall we teach him some?,SHALL WE TEACH HIM SOME,*/sample2049 SHALL WE TEACH HIM SOME
2049,2050,si2050,A third shot doused the light.,A THIRD SHOT DOUSED THE LIGHT,*/sample2050 A THIRD SHOT DOUSED THE LIGHT
2050,2051,si2051,He'll shoot up the town.,HE'LL SHOOT UP THE TOWN,*/sample2051 HE'LL SHOOT UP THE TOWN
